timestampUtc,category,iconColor,priority,text
2025-10-26 16:44:53.190000+00:00,,,,
2025-10-27 14:46:41.588000+00:00,,,,
2025-10-27 15:47:29.761000+00:00,,,,
2025-10-27 18:35:24.710000+00:00,,,,
2025-11-03 12:27:21.818000+00:00,,,,
2025-11-03 15:38:44.842000+00:00,,,,
2025-11-04 04:37:58.558000+00:00,,,,
2025-11-04 18:30:26.522000+00:00,,,,
2025-11-04 21:18:28.560000+00:00,,,,
2025-11-05 04:18:34.100000+00:00,,,,
2025-11-05 15:20:58.347000+00:00,,,,
2025-11-05 15:21:34.038000+00:00,,,,
2025-11-06 04:38:42.556000+00:00,,,,
2025-11-07 06:19:48.733000+00:00,,,,
2025-11-08 05:33:35.117000+00:00,,,,
2025-11-12 04:22:29.201000+00:00,,,,
2025-11-12 04:31:30.673000+00:00,,,,
2025-11-12 06:04:11.807000+00:00,,,,
2025-11-14 06:22:07.744000+00:00,,,,
2025-11-15 06:43:43.430000+00:00,,,,
2025-11-17 11:16:19.944000+00:00,,,,
2025-11-17 14:57:52.049000+00:00,,,,
2025-11-17 17:03:14.627000+00:00,,,,
2025-11-18 04:40:57.929000+00:00,,,,
2025-11-18 11:18:41.494000+00:00,,,,
2025-11-18 11:28:03.685000+00:00,,,,
2025-11-19 04:20:54.867000+00:00,,,,
2025-11-20 04:44:32.488000+00:00,,,,
2025-11-21 06:16:32.793000+00:00,,,,
2025-11-22 05:32:35.251000+00:00,,,,
2025-11-23 06:11:24.734000+00:00,,,,
2025-11-23 06:21:50.369000+00:00,,,,
2025-11-28 06:19:12.599000+00:00,,,,
2025-11-28 06:30:06.889000+00:00,,,,
2025-12-10 06:23:49.491000+00:00,,,,
2025-12-12 06:24:03.416000+00:00,,,,
2026-01-06 06:13:57.127000+00:00,,,,
2026-01-07 15:31:10.701000+00:00,,,,
2026-01-08 06:23:05.307000+00:00,,,,
2026-01-08 06:24:53.142000+00:00,,,,
2026-01-08 06:29:03.604000+00:00,,,,
2026-01-08 06:29:54.685000+00:00,,,,
2026-01-08 08:31:39.992000+00:00,,,,
2026-01-08 09:03:14.648000+00:00,,,,
2026-01-08 14:56:18.491000+00:00,,,,
2026-01-08 15:49:11.933000+00:00,,,,
2026-01-08 17:00:52.025000+00:00,,,,
2026-01-10 05:38:31.545000+00:00,,,,
2026-01-12 15:51:51.297000+00:00,,,,
2026-01-12 17:44:57.181000+00:00,,,,
2026-01-12 19:48:16.715000+00:00,,,,
2026-01-13 04:51:48.049000+00:00,,,,
2026-01-13 05:01:15.892000+00:00,,,,
2026-01-13 05:20:17.612000+00:00,,,,
2026-01-13 06:01:17.077000+00:00,,,,
2026-01-13 06:16:04.424000+00:00,,,,
2026-01-13 06:21:49.891000+00:00,,,,
